Airport Code,Page Rank
ORH,0.3759467408215091
FAY,0.3723876522014755
PTD,0.37169383367851994
MKC,0.37163421536078456
CWA,0.3694452171238013
SGU,0.3691029573261442
GRK,0.3685793223433111
HHH,0.36456656957788636
BDR,0.3628682283720883
PBG,0.3614055027280002
IKO,0.360093071521809
WSN,0.346248870337719
CLL,0.342471856001212
TSM,0.34235260609560625
CHU,0.33825915178119476
MHR,0.3375772839351526
VQS,0.3355246275732938
OWD,0.33426511024724814
ADK,0.33153120830790384
PYM,0.33056975795823773
MLU,0.32816490532053555
LBE,0.3254594748680705
JZT,0.3232573362281339
BKW,0.3231632823613216
GBH,0.3195383275336756
CEM,0.3177428983836672
A1K,0.31456643097615655
VIK,0.31105601194546173
LMA,0.31105601194546173
ENN,0.31105601194546173
MLY,0.3081033477466055
SMX,0.30003497104099247
ABY,0.29861525981983017
CLP,0.29404102892203743
MMH,0.2917969531887165
FLG,0.28902986495472166
TWF,0.2884986527759936
VRB,0.287866172502632
DSI,0.28761381866071445
BMG,0.28700291673453404
PML,0.2851051893772072
WWA,0.28494492759145157
ELV,0.2834634185548445
MBS,0.28281690254455005
CKB,0.28250214779058236
MKK,0.28174648570078925
DOF,0.2810998488129972
FYV,0.2808965675137839
SRV,0.280624814439723
NYS,0.28054541669549915
PWK,0.2795879099688842
HVN,0.2787483131024524
HYA,0.275683821995359
TCL,0.27514836244514446
NUQ,0.27481640641511307
JRV,0.2698880522505032
SJT,0.26544506640769233
DPA,0.26052229411661143
FOE,0.2568369149588883
SQL,0.2561730643945196
RDD,0.25365529275977067
MMU,0.25202332534583444
SSI,0.2510262621659506
STC,0.25004354244072136
KVC,0.24836514672185095
LSE,0.24615428904416858
UST,0.24535287020467866
ERI,0.24494492754445568
APA,0.24087725332585186
SCK,0.24080156449167064
CMI,0.24006191510062208
TNC,0.2399647742073327
FNL,0.23868466981533548
SUX,0.22430298736217855
PDT,0.22352015032568126
KKL,0.21611024431499753
NGU,0.21456694074642815
SWO,0.21395419025014328
OAJ,0.21066199521772871
LMT,0.209340870216568
GUC,0.208743767910439
MSL,0.20868315141421673
CKX,0.20830802079973007
TEX,0.2082223267365746
ORL,0.20680942428555119
SPI,0.20645760783837255
SVC,0.2062615304897116
GLH,0.2042716718807035
LUR,0.2041801455512091
TWA,0.20405204070098382
BIH,0.20384830768583934
OTH,0.20377300827718212
IMT,0.20103953755970258
ROW,0.2006075966860225
EHM,0.1995308815915922
AZO,0.1989952482563469
SPS,0.19810406146691076
EAR,0.19722222459398375
LAF,0.19623985690688905
VDZ,0.1899632850609677
XWA,0.18807223600856854
BFF,0.18788300096939828
LSV,0.18722310907069833
DQS,0.18361941170402576
EDF,0.18329625179911674
LGD,0.18100597575140376
KQA,0.17642424278581773
C01,0.1732849553193867
AVW,0.17252286985383236
LEB,0.17047110026722567
GCK,0.16975812574549093
CEC,0.16951843408108586
PUW,0.16950099227316412
OR4,0.1682868323145867
GGG,0.16802561138000455
ALO,0.1677799278690213
CCR,0.167611678239794
OGD,0.16724667598712592
PHF,0.16512784250956158
PSE,0.16491590909814124
HIB,0.1648269824706811
RBG,0.1641723252305926
BFD,0.16326620545242237
CMX,0.16266039528290144
MCE,0.16258750886022236
BJI,0.1623486806765039
MQT,0.16219848283944677
HGR,0.16202632211182233
LWS,0.1618818639826488
ESC,0.16131213451532786
OWB,0.16119303467037008
SLE,0.16046387666344486
EAT,0.16034408016820545
LYH,0.15987291877695695
PRB,0.15860269138318642
EWN,0.1573860131105992
RSN,0.15571504231602937
AL3,0.15571504231602937
RLU,0.15552800597273087
MHM,0.15552800597273087
BIG,0.15552800597273087
A27,0.15552800597273087
PIR,0.1540709218257102
EWB,0.15250382109363164
SHD,0.15085797131291603
ISM,0.15012684839748927
FSM,0.14992675382400866
CNO,0.147088610109113
NEW,0.14385888078309306
COD,0.14274015073826624
AKB,0.14156792324693615
FXE,0.14099568319766032
LNS,0.13573895748644066
ART,0.13442460049163243
2AK,0.13389095648689361
WRI,0.13378132190154285
CLM,0.13142532216208375
HLN,0.12819825225066708
HKY,0.1277457289575566
TCT,0.1265339330137526
TLJ,0.1265339330137526
UT1,0.1262985561104016
TXK,0.1260125062509519
FHB,0.1257585738220483
TVF,0.1256143157312966
DHN,0.12544861009963615
FMY,0.12500614146875927
PIH,0.12474077238751338
TRM,0.1246170049253642
AGC,0.1241622122108326
JLN,0.12396466361730121
EAU,0.12394734993364026
BAF,0.1238609669403417
BRD,0.1238416845258586
SBY,0.1238109334897568
GTR,0.12371333509753654
HOB,0.12361675743961724
BGM,0.12357404076680656
RUT,0.12338451125309464
NYL,0.12259878186169615
INT,0.12226819774895753
LGU,0.12225693437358559
IPL,0.12192968528962662
FOK,0.12185416601321394
RHI,0.12177765035164148
CIU,0.12165478106149732
FOD,0.12095777347242442
RWI,0.1206669948954331
PNE,0.12033651452848959
BTM,0.12030160652014435
BFM,0.12021110909674006
PRC,0.11936569049647949
LWB,0.11929414928680278
PGV,0.11889874341344242
CYS,0.11653662028260056
GSB,0.11611918041685312
CDC,0.1159635811810961
PLN,0.11584428137756295
UGN,0.11439439692379406
GDC,0.11421236612277119
APN,0.11367805794529381
DIK,0.11157473493473413
MTH,0.11075554059338241
KFP,0.10556569000373821
SIG,0.10193493131684062
FMN,0.09950939261835016
TKF,0.09834226927483666
MVL,0.09506986885474727
A20,0.09498164253048386
FVQ,0.09498164253048386
HLG,0.09396906062905222
GVL,0.09244066330451153
LUP,0.09194195854225476
FL7,0.09149866181620095
CZF,0.09131168343583246
GGE,0.08973412032189239
PPG,0.08961114469775615
JHM,0.08961114469775615
TYR,0.08957768981564124
FLO,0.08949396629344702
JZI,0.0883144241786707
ALS,0.08826130755217193
MRK,0.08683030061091031
MTN,0.08640843731440495
RKS,0.0861146439135678
BHB,0.08511144480176822
ELD,0.08503594387131473
HRO,0.08503594387131473
HOT,0.08503594387131473
PQI,0.08495810263256551
LAW,0.08471367074202933
CNM,0.08448028268021082
LCH,0.08446876157986968
UKI,0.08382345060755744
FDK,0.08365238085070681
CVN,0.08361473979046227
VUO,0.0833774400082694
BIF,0.08331522155962004
DOV,0.08304232817870989
DBQ,0.08296205198881777
SLK,0.0829201274245273
ONP,0.08288826584681287
INL,0.08285638658103611
MSS,0.08276640488713832
CVO,0.08260421911352042
LAR,0.08258828197447596
CLU,0.08250684490884762
IYK,0.08235873363986668
HII,0.08225605320803306
CNY,0.08217149655635714
AOO,0.08212967324177825
IWD,0.08207626129742665
GYR,0.08206072358235933
MGW,0.08201926393469164
DUJ,0.08201926393469164
JST,0.0819390889128477
CEZ,0.08171926569786922
ATY,0.08168220244645685
MZJ,0.0816531257400624
SUA,0.08118916388597527
CDR,0.08118247818770537
DDC,0.08097143154860928
MKL,0.08062842092149544
LVK,0.08048489125647594
IAB,0.0804600849397831
